"id","journal_date","description","user_id","financial_year","type","createdAt","updatedAt"
116,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
117,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
118,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
119,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
120,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
121,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
122,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
123,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
124,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
125,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
126,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
127,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
128,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
129,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
130,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
131,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
132,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
133,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
134,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
