"id","category_id","entry_date","account_id","item_id","quantity","unit_price","total_amount","value","user_id","financial_year","unit_id","journal_id","type","createdAt","updatedAt"
67,17,"2024-05-03T00:00:00.000Z",202,9,"1","731.98","819.8176000000001","731.98",9,"2024-2025",12,67,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
68,18,"2024-05-03T00:00:00.000Z",202,10,"1","2546.94","3005.3892","2546.94",9,"2024-2025",12,68,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
69,18,"2024-05-03T00:00:00.000Z",229,10,"1","9739.78","11492.940400000001","9739.78",9,"2024-2025",12,69,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
70,16,"2024-05-04T00:00:00.000Z",230,8,"1","533.33","559.9965000000001","533.33",9,"2024-2025",12,70,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
71,16,"2024-05-04T00:00:00.000Z",204,8,"1","571.43","600.0015","571.43",9,"2024-2025",12,71,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
72,16,"2024-05-04T00:00:00.000Z",231,8,"1","3200","3360","3200.00",9,"2024-2025",12,72,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
73,18,"2024-05-04T00:00:00.000Z",232,10,"1","9381.13","11069.7334","9381.13",9,"2024-2025",12,73,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
74,16,"2024-05-04T00:00:00.000Z",233,8,"1","1600","1680","1600.00",9,"2024-2025",12,74,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
75,18,"2024-05-04T00:00:00.000Z",234,10,"1","4882.4","5761.232","4882.40",9,"2024-2025",12,75,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
76,16,"2024-05-04T00:00:00.000Z",235,8,"1","3200","3360","3200.00",9,"2024-2025",12,76,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
77,17,"2024-05-06T00:00:00.000Z",236,9,"1","774.55","867.496","774.55",9,"2024-2025",12,77,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
78,18,"2024-05-06T00:00:00.000Z",236,10,"1","565.21","666.9478","565.21",9,"2024-2025",12,78,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
79,18,"2024-05-06T00:00:00.000Z",237,10,"1","3563.43","4204.8474","3563.43",9,"2024-2025",12,79,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
80,18,"2024-05-06T00:00:00.000Z",238,10,"1","1346.64","1589.0352","1346.64",9,"2024-2025",12,80,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
82,19,"2024-05-06T00:00:00.000Z",239,11,"1","1460","1460","1460.00",9,"2024-2025",12,82,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
81,16,"2024-05-06T00:00:00.000Z",239,8,"1","2609.52","2739.996","2609.52",9,"2024-2025",12,81,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
83,17,"2024-05-06T00:00:00.000Z",239,9,"1","7849.45","8791.384","7849.45",9,"2024-2025",12,83,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
84,18,"2024-05-06T00:00:00.000Z",197,10,"1","7485.66","8833.0788","7485.66",9,"2024-2025",12,84,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
85,18,"2024-05-06T00:00:00.000Z",240,10,"1","2468.62","2912.9716","2468.62",9,"2024-2025",12,85,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
86,19,"2024-05-06T00:00:00.000Z",240,11,"1","3450","3450","3450.00",9,"2024-2025",12,86,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
